brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Brewdog,Imperial Stout,Session IPA,Millennium,S04 - English Ale,Munich,54 IBU,8.8%,13.1°Blg,6808a3b8-2230-4027-97d3-e2eb67a2d3e2
Heineken,Pale Ale,Wheat Beer,Saaz,W34/70 - Lager,Caramel,39 IBU,4.1%,18.8°Blg,a94c130f-fc56-4f58-ac71-c7ef4b0a446a
Budweiser,Lager,Session IPA,Galaxy,1388 - Belgian Strong Ale,Caramel,29 IBU,8.0%,11.5°Blg,24cf2eea-b334-40f8-bd56-d5da6b6cf291
Carlsberg,Lager,Session IPA,Galaxy,WLP001 - California Ale,Chocolate,27 IBU,4.9%,17.1°Blg,5db08085-3b32-4ad8-b5bf-de23d33db48a
Guinness,Pilsner,Session IPA,Millennium,1056 - American Ale,Chocolate,34 IBU,9.0%,10.4°Blg,6aae6fbf-1a35-428f-9d72-ed1f2378fcf5
Carlsberg,Lager,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Chocolate,59 IBU,5.5%,11.0°Blg,d4daf90e-92ec-411e-a8fd-cc67847b4c8b
Budweiser,Imperial Stout,Sour Ale,Saaz,W34/70 - Lager,Pilsner,66 IBU,8.3%,10.3°Blg,1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60
Brewdog,Lager,Belgian Dubbel,Cascade,WLP001 - California Ale,Pilsner,62 IBU,5.2%,19.3°Blg,83110bd1-8c45-4d58-a7a9-71c74a4bfdec
Carlsberg,Imperial Stout,Session IPA,Mosaic,1056 - American Ale,Chocolate,70 IBU,7.1%,18.8°Blg,51266c9c-c77f-4afd-af22-4d3a14b7fa3f
Budweiser,Porter,Belgian Dubbel,Cascade,1388 - Belgian Strong Ale,Chocolate,28 IBU,5.5%,15.1°Blg,ae22a074-813a-4a50-b3da-cb6f880c82a9
Brewdog,Imperial Stout,Wheat Beer,Cascade,1056 - American Ale,Caramel,44 IBU,4.1%,19.7°Blg,052acbd1-43f7-4d59-8213-f91fafc0bf98
Heineken,Pale Ale,Wheat Beer,Galaxy,W34/70 - Lager,Munich,63 IBU,9.6%,10.6°Blg,c4c04ad5-18c7-4095-853e-0875496ee797
Carlsberg,Imperial Stout,Session IPA,Galaxy,WLP001 - California Ale,Pilsner,42 IBU,7.3%,10.8°Blg,9d460064-ec5a-4881-a01b-ea4b2dd36bbf
Guinness,Porter,Strong Ale,Millennium,WLP001 - California Ale,Pilsner,69 IBU,6.3%,11.1°Blg,ffbc1596-f012-4146-9161-0e26b261e429
Heineken,Imperial Stout,Wheat Beer,Cascade,1388 - Belgian Strong Ale,Victory,41 IBU,4.1%,15.4°Blg,12012cfa-1418-443c-ba71-a2685df8f16d
Budweiser,Pilsner,Strong Ale,Millennium,WLP001 - California Ale,Munich,61 IBU,8.9%,11.7°Blg,a4028cf7-f3fb-44f4-b4cb-eb3832b3a2fa
Guinness,Pilsner,Wheat Beer,Cascade,S04 - English Ale,Munich,46 IBU,9.2%,13.3°Blg,506020a3-79fd-444a-9c36-f6f9e9c41406
Brewdog,Lager,Session IPA,Cascade,1388 - Belgian Strong Ale,Munich,63 IBU,5.1%,10.5°Blg,ba18e60c-ad21-4a5b-9d12-ddbe1301cc4f
Guinness,Porter,Sour Ale,Saaz,S04 - English Ale,Munich,22 IBU,7.7%,13.1°Blg,46d228b2-a4f7-4d2b-954e-a34eda44265f
Budweiser,Pilsner,Belgian Dubbel,Mosaic,WLP001 - California Ale,Victory,54 IBU,8.3%,18.1°Blg,b51214d0-e547-4fee-8d14-9edc6ad2f307
Carlsberg,Pale Ale,Belgian Dubbel,Millennium,1388 - Belgian Strong Ale,Munich,40 IBU,8.9%,13.2°Blg,d50468f0-b34d-4c9f-8967-b3c955d69f4d
Brewdog,Pilsner,Wheat Beer,Cascade,S04 - English Ale,Pilsner,43 IBU,7.9%,16.4°Blg,ca5e9370-6fe5-4814-afea-9bdcc5e0f9c1
Guinness,Pale Ale,Wheat Beer,Mosaic,1056 - American Ale,Caramel,27 IBU,4.3%,12.8°Blg,45f283fc-589c-41a6-9e7a-493a6ce70ab9
Budweiser,Porter,Belgian Dubbel,Saaz,W34/70 - Lager,Caramel,43 IBU,6.6%,14.4°Blg,835d9f2d-70ee-4636-8193-ac1567ccf3d6
Brewdog,Pale Ale,Wheat Beer,Millennium,WLP001 - California Ale,Chocolate,66 IBU,5.1%,16.0°Blg,ce60ae86-6ba3-454e-8ee4-769c7b51b8f6
Heineken,Pilsner,Wheat Beer,Millennium,1056 - American Ale,Pilsner,25 IBU,4.7%,19.1°Blg,7590b474-617c-4de5-8340-c8d1ba524ead
Guinness,Porter,Sour Ale,Galaxy,WLP001 - California Ale,Victory,30 IBU,4.4%,18.5°Blg,912510c3-b8d7-4ab3-8c47-1a27849c56a9
Carlsberg,Pale Ale,Wheat Beer,Cascade,1056 - American Ale,Pilsner,44 IBU,6.5%,18.3°Blg,cdb02f64-618c-4476-9312-ebba41c1af73
Budweiser,Porter,Belgian Dubbel,Mosaic,1056 - American Ale,Munich,37 IBU,4.7%,19.5°Blg,82181457-bcfb-497e-b488-b389e03e0e7c
Brewdog,Lager,Sour Ale,Cascade,S04 - English Ale,Pilsner,53 IBU,5.0%,14.2°Blg,295245a7-995c-4d42-b999-73d8971430fd
Guinness,Pale Ale,Wheat Beer,Saaz,S04 - English Ale,Caramel,34 IBU,9.0%,13.0°Blg,b15abf57-30b6-4ee1-810d-80da94102743
Budweiser,Lager,Wheat Beer,Millennium,1388 - Belgian Strong Ale,Victory,60 IBU,6.6%,13.6°Blg,c26209a7-2fdc-451a-be7f-93e9f16c3ff6
Guinness,Pilsner,Sour Ale,Cascade,1056 - American Ale,Pilsner,34 IBU,8.4%,15.5°Blg,016994b9-81b3-43bb-89c2-ad7b7ca618fb
Heineken,Porter,Sour Ale,Millennium,W34/70 - Lager,Munich,63 IBU,9.9%,10.9°Blg,fdeb734d-1d9f-4e6a-8b40-be31107058cc
Budweiser,Lager,Belgian Dubbel,Mosaic,WLP001 - California Ale,Caramel,24 IBU,8.2%,10.8°Blg,0923af98-d7fe-4c1f-a709-0277141ca13a
Carlsberg,Lager,Strong Ale,Cascade,S04 - English Ale,Chocolate,52 IBU,7.7%,18.5°Blg,15f26fb1-7eb6-4e65-abac-237c7c3ad0ac
Budweiser,Pale Ale,Wheat Beer,Galaxy,WLP001 - California Ale,Pilsner,51 IBU,7.3%,11.4°Blg,758a6310-8614-4f59-9840-1f6af29f1370
Brewdog,Imperial Stout,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Victory,21 IBU,4.9%,13.8°Blg,749ccb51-c9d5-4ac3-9f54-f48aad27e001
Carlsberg,Pilsner,Belgian Dubbel,Galaxy,1056 - American Ale,Victory,32 IBU,7.9%,12.0°Blg,c3129008-781d-473a-ac4f-8e47a0187998
Heineken,Pilsner,Strong Ale,Galaxy,1388 - Belgian Strong Ale,Pilsner,23 IBU,5.2%,18.1°Blg,71df473c-4fb2-4df8-9c8e-1842ed7920ef
Carlsberg,Pilsner,Belgian Dubbel,Mosaic,1056 - American Ale,Pilsner,50 IBU,8.5%,10.1°Blg,9e567f96-c066-47e6-b433-30b5e305e000
Brewdog,Pilsner,Sour Ale,Galaxy,W34/70 - Lager,Munich,25 IBU,7.3%,17.9°Blg,6714133d-2bb6-4765-8db5-d4b8a4f091b7
Brewdog,Imperial Stout,Sour Ale,Cascade,WLP001 - California Ale,Caramel,53 IBU,5.5%,11.1°Blg,81315103-c5af-4e06-be4c-3b3383dade3e
Brewdog,Lager,Sour Ale,Cascade,WLP001 - California Ale,Munich,40 IBU,5.1%,16.0°Blg,4c0c21d0-7127-4223-98d3-9880b7731f80
Carlsberg,Imperial Stout,Sour Ale,Saaz,S04 - English Ale,Munich,26 IBU,8.7%,13.2°Blg,9966fa29-71c3-4e3a-87f2-1d31c63c6ba2
Brewdog,Pilsner,Strong Ale,Millennium,1056 - American Ale,Chocolate,24 IBU,6.6%,17.3°Blg,0205c23e-4fac-4d32-a21c-38899666028c
Budweiser,Pale Ale,Wheat Beer,Millennium,1388 - Belgian Strong Ale,Munich,28 IBU,9.3%,13.0°Blg,65a72509-c9f4-466e-bee6-abb194f9bf41
Carlsberg,Lager,Session IPA,Millennium,1388 - Belgian Strong Ale,Pilsner,40 IBU,8.9%,15.3°Blg,0db4e14a-1a61-47ba-9df7-05a0a1ea719a
Budweiser,Porter,Session IPA,Galaxy,1056 - American Ale,Pilsner,64 IBU,7.5%,11.2°Blg,40071839-649d-4b22-b5d9-a84d02251bbc
Carlsberg,Imperial Stout,Session IPA,Galaxy,WLP001 - California Ale,Munich,49 IBU,7.0%,19.4°Blg,78c5276f-b723-43ee-9d44-1761797e7db8
Brewdog,Pilsner,Sour Ale,Millennium,1056 - American Ale,Caramel,52 IBU,9.8%,12.5°Blg,0fc4aae2-1ea9-4820-8445-da1208e79f5c
Guinness,Imperial Stout,Wheat Beer,Mosaic,S04 - English Ale,Victory,23 IBU,5.8%,16.7°Blg,0c9549c3-22f4-409c-a05f-da17a50e59e6
Brewdog,Lager,Wheat Beer,Millennium,1056 - American Ale,Pilsner,23 IBU,6.0%,19.6°Blg,bc757163-4d07-4fe0-b8ba-de2bbac81d6c
Budweiser,Porter,Wheat Beer,Saaz,WLP001 - California Ale,Caramel,54 IBU,6.4%,15.7°Blg,f12dd834-74ac-4518-b14e-0936fbdd9b34
Brewdog,Porter,Session IPA,Cascade,S04 - English Ale,Pilsner,64 IBU,9.8%,12.0°Blg,f4e640d8-8cf4-499d-bd2d-3e0bcd5221be
Budweiser,Pale Ale,Strong Ale,Mosaic,S04 - English Ale,Pilsner,28 IBU,5.1%,15.4°Blg,f6ad3044-8c62-482a-a58c-3a165a9370e3
Carlsberg,Pale Ale,Belgian Dubbel,Cascade,WLP001 - California Ale,Caramel,33 IBU,8.6%,15.8°Blg,490b6bfb-84cf-4995-9a2a-861f19ddac21
Guinness,Pilsner,Session IPA,Millennium,1056 - American Ale,Chocolate,63 IBU,9.1%,10.2°Blg,2f727d96-92a5-4650-84a0-9ae566c51313
Carlsberg,Pale Ale,Session IPA,Saaz,W34/70 - Lager,Chocolate,34 IBU,5.1%,18.3°Blg,d8d7ec34-548e-4a39-bf85-3bd329592e70
Budweiser,Porter,Belgian Dubbel,Galaxy,S04 - English Ale,Pilsner,24 IBU,5.0%,13.0°Blg,b646d32b-2179-4c95-a15d-10af31296143
Budweiser,Lager,Wheat Beer,Saaz,W34/70 - Lager,Pilsner,31 IBU,5.2%,17.4°Blg,da5ef7c1-5c6f-4de3-869b-733dd2ae6b40
Carlsberg,Pilsner,Sour Ale,Cascade,1388 - Belgian Strong Ale,Chocolate,67 IBU,9.2%,12.1°Blg,a2326068-abed-4b99-b094-e157f9784528
Budweiser,Porter,Sour Ale,Cascade,W34/70 - Lager,Victory,42 IBU,7.4%,18.3°Blg,ffcc2927-fe12-4ee9-af98-b5824ff74abc
Carlsberg,Lager,Sour Ale,Saaz,S04 - English Ale,Victory,61 IBU,5.2%,12.1°Blg,643f6cb3-80db-4a6e-a986-7937e71bacf3
Guinness,Lager,Sour Ale,Millennium,W34/70 - Lager,Munich,43 IBU,8.9%,12.2°Blg,f30451be-fdde-448c-afc4-324a68325073
Heineken,Pale Ale,Belgian Dubbel,Cascade,1388 - Belgian Strong Ale,Chocolate,49 IBU,6.8%,18.5°Blg,124b6452-24e0-46de-81c6-b3b8be0ecc10
Brewdog,Porter,Wheat Beer,Cascade,S04 - English Ale,Pilsner,66 IBU,7.1%,18.9°Blg,db112527-42d4-4f3f-b742-58a1b95659a1
Brewdog,Porter,Strong Ale,Saaz,WLP001 - California Ale,Caramel,42 IBU,6.8%,10.4°Blg,b0bb31fb-9f6b-4ecb-a619-305a3ebb9740
Heineken,Imperial Stout,Wheat Beer,Cascade,W34/70 - Lager,Munich,44 IBU,6.4%,10.1°Blg,3164f199-08ad-4f88-a64c-f5660ff52cc9
Carlsberg,Pale Ale,Strong Ale,Mosaic,1388 - Belgian Strong Ale,Caramel,51 IBU,9.7%,11.9°Blg,e494f3a1-3d8c-4e9c-a935-92322f2f701b
Carlsberg,Pilsner,Sour Ale,Mosaic,1056 - American Ale,Victory,26 IBU,6.5%,10.9°Blg,25a19485-8cd6-4a5a-9a86-a883d17c5a7d
Carlsberg,Imperial Stout,Strong Ale,Saaz,S04 - English Ale,Pilsner,43 IBU,7.2%,16.2°Blg,d109c1c2-15a1-4429-a833-97547e725e3c
Brewdog,Imperial Stout,Wheat Beer,Mosaic,WLP001 - California Ale,Caramel,23 IBU,6.0%,17.8°Blg,589a5336-e401-4b95-ae4b-dc48f8003284
Guinness,Lager,Sour Ale,Galaxy,WLP001 - California Ale,Munich,60 IBU,6.1%,16.0°Blg,59e0c81a-f19b-40ce-a7b9-4b1eca38a622
Budweiser,Lager,Session IPA,Millennium,S04 - English Ale,Pilsner,70 IBU,5.4%,17.6°Blg,1baf9859-87ea-4f52-9f29-d4da117c3ab6
Heineken,Lager,Strong Ale,Saaz,S04 - English Ale,Pilsner,56 IBU,8.8%,16.8°Blg,62bd6333-219e-471a-a43a-ed770713e6e8
Brewdog,Porter,Session IPA,Mosaic,1388 - Belgian Strong Ale,Munich,46 IBU,6.9%,15.3°Blg,f84dc086-79c4-447f-893e-9b4d2d3ba031
Brewdog,Lager,Session IPA,Saaz,WLP001 - California Ale,Chocolate,58 IBU,7.4%,17.6°Blg,3ac4508d-f00a-431a-a548-dde089a06c1f
Budweiser,Lager,Belgian Dubbel,Galaxy,1388 - Belgian Strong Ale,Chocolate,57 IBU,9.6%,15.6°Blg,9bb2b53c-6e07-466c-9202-2842e1999ad9
Budweiser,Pilsner,Sour Ale,Galaxy,1056 - American Ale,Pilsner,37 IBU,4.4%,12.9°Blg,98f2fabc-f989-4bd1-af68-8456e04645ee
Carlsberg,Lager,Sour Ale,Millennium,1388 - Belgian Strong Ale,Chocolate,70 IBU,6.9%,19.2°Blg,2af54acc-4cb4-47bc-9ee2-4070d95288ea
Heineken,Imperial Stout,Wheat Beer,Millennium,1056 - American Ale,Caramel,66 IBU,4.9%,17.8°Blg,eb42f705-f065-403e-9318-9964ffd0021e
Heineken,Lager,Strong Ale,Cascade,1056 - American Ale,Victory,20 IBU,5.2%,17.4°Blg,1a1caa0f-05ef-42e2-85e1-eafa52943e62
Heineken,Porter,Wheat Beer,Galaxy,WLP001 - California Ale,Pilsner,61 IBU,7.9%,10.4°Blg,bee9ed1f-5f76-4978-9d63-862b95fa3b59
Brewdog,Imperial Stout,Belgian Dubbel,Millennium,1388 - Belgian Strong Ale,Caramel,27 IBU,7.2%,12.2°Blg,2d87a057-1c60-43ac-83ee-922f9dadb526
Heineken,Pilsner,Belgian Dubbel,Saaz,WLP001 - California Ale,Victory,48 IBU,7.8%,13.9°Blg,c018a098-f916-41aa-aaa8-46145c9b969b
Carlsberg,Pilsner,Sour Ale,Mosaic,W34/70 - Lager,Caramel,32 IBU,7.3%,11.9°Blg,5297fd80-457d-4287-b0ca-a2e319e0e36a
Brewdog,Pilsner,Strong Ale,Cascade,1056 - American Ale,Munich,64 IBU,5.7%,10.5°Blg,265cfb47-fac9-454f-853c-b931fe336b17
Carlsberg,Porter,Belgian Dubbel,Mosaic,1388 - Belgian Strong Ale,Victory,60 IBU,9.5%,11.9°Blg,47fcf337-c1a4-4fdd-8931-92b05329cc7f
Guinness,Pilsner,Wheat Beer,Millennium,S04 - English Ale,Munich,58 IBU,4.7%,14.9°Blg,186597e5-119c-4e99-9173-6b6781a2d864
Carlsberg,Pale Ale,Strong Ale,Millennium,S04 - English Ale,Pilsner,39 IBU,4.2%,19.2°Blg,86d35c05-2901-4bca-a5ad-9c6658db9be0
Heineken,Porter,Wheat Beer,Mosaic,1056 - American Ale,Caramel,31 IBU,8.7%,19.7°Blg,5473fcd7-03d6-4d3d-86e3-babddea68183
Budweiser,Lager,Strong Ale,Mosaic,WLP001 - California Ale,Caramel,20 IBU,7.2%,14.2°Blg,d0f6cbf3-2829-43f7-a212-6479c44cc3fe
Brewdog,Pilsner,Wheat Beer,Galaxy,1056 - American Ale,Pilsner,45 IBU,6.5%,13.1°Blg,89cde4a9-db65-46e1-a91a-640b4e166b65
Brewdog,Imperial Stout,Strong Ale,Millennium,W34/70 - Lager,Caramel,48 IBU,5.8%,16.0°Blg,710a1182-6028-45f3-956a-a7a83d3dde98
Brewdog,Pilsner,Belgian Dubbel,Mosaic,1388 - Belgian Strong Ale,Victory,34 IBU,4.6%,13.8°Blg,a10c5c14-daee-4a7f-9410-9aec06a7c2dc
Heineken,Imperial Stout,Wheat Beer,Galaxy,WLP001 - California Ale,Chocolate,64 IBU,5.1%,12.8°Blg,675ebb8d-2d88-4c4a-9513-75317300edce
Heineken,Lager,Wheat Beer,Mosaic,1056 - American Ale,Victory,29 IBU,5.8%,13.4°Blg,806b01bd-3742-489a-a371-17c4db386e5d
Budweiser,Pale Ale,Strong Ale,Cascade,WLP001 - California Ale,Victory,35 IBU,8.1%,15.0°Blg,1364378e-9e97-4db0-8f8c-830bee169e0d
Guinness,Pale Ale,Wheat Beer,Millennium,W34/70 - Lager,Pilsner,38 IBU,6.9%,12.5°Blg,c2da8fc6-7caa-4af7-8e9b-8736ac9728bc
