id,uid,name,type,description,review,user_id,dt_current_timestamp
5184,8b7d8719-3bdf-48f1-8e23-f99ae419ed28,66 BBQ,Fast Food,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,057474b4-5433-4b0a-8db2-e9e6ec115d9c,2024-01-17 20:01:41
1396,6afe1f19-2dc0-4f6b-bb81-ca70c171cd3c,Café Delight,Café,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,e46d9355-3713-4304-9327-05d91829d2c2,2024-01-17 20:01:41
5517,ff82292c-fb9b-467b-9b65-3fdcc2b77659,66 BBQ,Bistro,A cozy place with home-style cooking.,"Great location, but the service could be better.",972f2190-52d9-410e-8d45-71a0246c8669,2024-01-17 20:01:41
6340,09a82679-25dc-494f-8c00-475de4a1a000,Sweet Box,Café,A perfect place for a romantic evening.,"Great location, but the service could be better.",3cf49b65-05f9-4f4e-95f8-4dd9a3d94485,2024-01-17 20:01:41
8798,92fd6a2e-2d98-45f0-868b-702aaedc6d70,Ocean View,Fast Food,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",1198471c-26ce-44a8-8f05-eb3094f719b8,2024-01-17 20:01:41
8308,effa8ca2-6994-409b-9f9f-99ce726c06f9,Sweet Box,Fine Dining,A perfect place for a romantic evening.,Loved the ambience and the dessert menu.,bcdbc933-1555-4652-bbea-573877daad0e,2024-01-17 20:01:41
2721,b3e5ee7b-7c5b-448c-aa93-728740b734f5,Café Delight,Fine Dining,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",18e0cec4-8fb9-410a-bea3-5a1ed590d3d5,2024-01-17 20:01:41
1410,7276ecff-7a7a-4fdc-9ad8-d1e27f96c0c6,Mountain Retreat,Fine Dining,A perfect place for a romantic evening.,A bit pricey but totally worth it.,bf94f3db-0fe9-4433-be56-0f3b0dac4150,2024-01-17 20:01:41
7604,a9ad6ca3-0dee-4c64-9586-871f28d41f1e,Ocean View,Café,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",31eb4625-dcd0-496a-b478-c150a654d0a1,2024-01-17 20:01:41
2230,737e0921-298c-4c9e-91ee-fbccfdfc11b3,Ocean View,Fast Food,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,c7d04d7a-7f50-47b6-86e8-60d6dc98cd93,2024-01-17 20:01:41
5510,10307f87-8d5a-4cb1-8300-c0b3e8d72f85,Sweet Box,Bar,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",b5cd83ef-e7e6-4ffb-8042-d3932c9a734c,2024-01-17 20:01:41
9039,c9275771-d11c-4a0d-98de-9275e9cc0866,Café Delight,Café,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,a2280dff-8e78-424b-8565-9cfe3a99e17a,2024-01-17 20:01:41
7240,05013222-14de-49fa-be82-99a3f0fee389,Mountain Retreat,Bistro,Elegant dining with a panoramic ocean view.,A bit pricey but totally worth it.,8f7d942e-7bed-4fcb-a642-9fb8cee76d0b,2024-01-17 20:01:41
3607,02ddb10d-ed73-42de-8ddf-f09dbbb77286,Sweet Box,Bar,A perfect place for a romantic evening.,A bit pricey but totally worth it.,25d4cb51-6e72-42b3-9f62-9153e345d84d,2024-01-17 20:01:41
3388,6c5381e0-260f-4fa9-8cfb-0ab1e0a8716e,Mountain Retreat,Bar,A cozy place with home-style cooking.,Excellent food and friendly service!,1eb31594-5d59-405f-af3d-4bb0437fd513,2024-01-17 20:01:41
7884,beedb740-0bfb-48f4-a452-1f416c362fbf,Sweet Box,Fine Dining,A perfect place for a romantic evening.,Loved the ambience and the dessert menu.,46ab8db9-5d23-4784-80e7-de7315f4f81b,2024-01-17 20:01:41
3736,9466b893-04fe-47bb-9481-932f536267e3,Ocean View,Fine Dining,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,cf387bfd-622c-4578-be17-5c47f111d85d,2024-01-17 20:01:41
3268,b07d848c-290e-465b-aa18-d3e13cb95e0a,Café Delight,Fast Food,A cozy place with home-style cooking.,"Great location, but the service could be better.",5a58de8c-1c15-4291-b5e8-63522cfd7523,2024-01-17 20:01:41
6883,97140127-2284-4da7-9a84-43391a4cc391,Ocean View,Café,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",e66262b8-469a-4885-8fd8-dbe6bdc30089,2024-01-17 20:01:41
7324,a1322253-90d4-4b77-b927-dec951f80c6b,Café Delight,Café,A cozy place with home-style cooking.,"Great location, but the service could be better.",2f5a079d-60ae-455a-8d92-353a4d77c32f,2024-01-17 20:01:41
6226,835b40a4-36af-4d1b-9e6e-eba1a8a9abd0,Sweet Box,Fine Dining,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,f6d0ef67-5bc0-4f0e-ae3a-0f1a74995912,2024-01-17 20:01:41
3480,569ffd6e-8e8e-4d27-bdb5-c4c5f16e090b,Café Delight,Bar,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,0c2718b3-cb8c-4bd6-8f47-631b5ed0b252,2024-01-17 20:01:41
4726,1b2aa83a-389d-43ea-875e-5c38f9315c94,Café Delight,Café,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",453438e3-862d-4ace-bfab-6c8f4aac9848,2024-01-17 20:01:41
5834,e841e51d-1541-4ba6-a002-ef0b367d612c,Sweet Box,Café,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",4aee740a-b3ab-4fb4-ba91-3e1b6fce86d5,2024-01-17 20:01:41
1508,223ab4e8-2ab2-4991-8de0-cc1d7ad912f3,66 BBQ,Bar,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,2131b4a9-04b9-4991-999c-39fddd3d1009,2024-01-17 20:01:41
1833,5ae42486-3383-4be2-8158-08f9d526f97c,Café Delight,Bistro,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",88a673ce-2454-47d1-958d-691d0ad2aa5c,2024-01-17 20:01:41
1360,c46f0252-6c64-4cba-b210-fab170731853,Café Delight,Café,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,73e5adea-92cc-4d0a-bfba-99d3e37f920a,2024-01-17 20:01:41
2692,8aa676a1-316b-4fdf-8061-27498527b141,66 BBQ,Fast Food,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",568bff29-540c-47b9-bf04-f312c690db9e,2024-01-17 20:01:41
2161,0d0deb7e-3225-453b-bab4-6bd254fe5d54,66 BBQ,Bistro,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",706f8888-eda7-4d14-b706-6a40babc726b,2024-01-17 20:01:41
4908,7581cd9b-c81c-467a-af4c-c776b450858b,Sweet Box,Café,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",98388fe6-55e9-4ba9-865f-b8c2ca280e26,2024-01-17 20:01:41
3337,764f5904-7cac-403c-ac44-dfb9fefbca65,Sweet Box,Bar,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",0de055a5-c768-496d-8eed-23d488ec24d3,2024-01-17 20:01:41
4482,84bddc90-d34b-4866-8330-6acede399ae3,Café Delight,Bistro,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,5ed47a74-af32-487a-83b5-e53deb74e228,2024-01-17 20:01:41
7199,41b91b25-9f75-4b05-b45d-413bbe61018c,Sweet Box,Bar,A cozy place with home-style cooking.,"Great location, but the service could be better.",81ceee71-171e-4183-b14f-a085999b95cf,2024-01-17 20:01:41
9006,57e99aeb-6525-4267-9547-6e180b2d5a85,Sweet Box,Fast Food,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,2961e5d3-bf91-40e6-807d-0bfa497bc25f,2024-01-17 20:01:41
6284,aeba4f64-e2d5-4e5b-b70a-4a4b59bc3232,Café Delight,Bistro,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,4086dfd4-02ef-4ba7-94ea-9dc879c99a99,2024-01-17 20:01:41
7310,e53d0dbd-6d53-4aaf-904f-5796ceede231,Café Delight,Bistro,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",704ec9e4-532c-4982-9cb5-1ee52d53043b,2024-01-17 20:01:41
6350,6280236f-1090-49cd-94f2-176694dc8a11,Ocean View,Fine Dining,A perfect place for a romantic evening.,Excellent food and friendly service!,7177d7de-ac7f-49cc-b215-06190d603c7e,2024-01-17 20:01:41
8768,de711f0e-006c-43a8-91e3-475b6ab4962c,Mountain Retreat,Fast Food,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,c94bb83b-46f8-411f-b7eb-516121c47e44,2024-01-17 20:01:41
4100,96e44888-ee85-489d-a26b-967343a3e6dc,Sweet Box,Fast Food,A cozy place with home-style cooking.,"Great location, but the service could be better.",af7dccd9-1c2c-4c07-987a-5349ae6afd39,2024-01-17 20:01:41
1260,629d7be6-f93d-4484-93c3-62b33bad95e1,Sweet Box,Bistro,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,6329ec56-4b89-482c-92c4-9309ab0bd1fe,2024-01-17 20:01:41
6371,d98140f3-5595-42f3-904e-8d73a5772851,Café Delight,Bar,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,749247e9-a474-43ad-9025-b26324585d83,2024-01-17 20:01:41
3541,daa96ef8-2fb8-428b-878a-71cd25f507c4,Café Delight,Bistro,Fast and delicious meals for the on-the-go customer.,"Not the best experience, but the food was okay.",26b9e010-4a76-41a3-af42-580948c44418,2024-01-17 20:01:41
8446,61cb16ea-e672-438a-96c7-f814b4585e57,Sweet Box,Fast Food,A cozy place with home-style cooking.,A bit pricey but totally worth it.,78705796-0489-4697-b513-0965f3602263,2024-01-17 20:01:41
8406,cb1af6bb-d502-4ebe-98c2-bdd71d889344,Ocean View,Café,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,d5f2eb11-0713-4768-9d20-de503cbee934,2024-01-17 20:01:41
3073,a05f2e62-cad4-473d-b4af-62c1c6120b99,Sweet Box,Fine Dining,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",1fff39de-b264-4133-ae53-a3dc0427cbf5,2024-01-17 20:01:41
4554,df9653b4-8b10-4383-852c-a88b6384b096,Mountain Retreat,Bistro,A perfect place for a romantic evening.,Loved the ambience and the dessert menu.,a1372524-b62d-4702-b699-bea67cea9ec4,2024-01-17 20:01:41
4239,8154e801-d7d6-4b34-ab7a-e76c78a27031,Ocean View,Bar,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",113eb2a1-0b23-414b-8a66-0c044d14c874,2024-01-17 20:01:41
8084,ee40f51d-751f-46d8-a6d3-5fd910bca0b7,Mountain Retreat,Fine Dining,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",bd715ea6-579e-4994-bf9a-9d385f8d2fc1,2024-01-17 20:01:41
8476,58a4eac2-3595-4d50-9e14-9e75a3d70d75,Café Delight,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,886c3c98-f5d1-4075-9a56-7bc26eff3175,2024-01-17 20:01:41
7409,232ae47d-9aed-4ab3-a0dc-99e1dd455cbb,Mountain Retreat,Bar,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",09f33338-6958-49fe-ac2d-873988b65737,2024-01-17 20:01:41
9991,d575ecfb-ad02-4805-9966-7d6d737eebd4,66 BBQ,Fine Dining,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",6e196d9d-ce4e-4249-a92f-11b470ccb5bd,2024-01-17 20:01:41
4545,b4527531-7b45-4a33-8d29-5c4a10f589eb,Café Delight,Fast Food,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",8139f451-a0ae-4b44-b761-57b63d1edfb6,2024-01-17 20:01:41
5736,5cdf912f-ab4b-41dd-b2c1-1324904699d5,66 BBQ,Bar,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,d9d7cc0e-602c-4c2b-9a31-6bd88181be44,2024-01-17 20:01:41
5153,d32e4e0b-6547-4430-b286-a0f83e6b2d1a,Sweet Box,Bar,A perfect place for a romantic evening.,Excellent food and friendly service!,2990b7c1-a8b5-4183-839e-0decf8b2f005,2024-01-17 20:01:41
1983,17946511-0325-444d-a844-5a14533142c9,66 BBQ,Fast Food,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",c21ad10f-9ac9-4293-a1e6-bb399a209537,2024-01-17 20:01:41
2187,545776db-02d2-46a0-944e-c8f4414ee1bf,66 BBQ,Fine Dining,A perfect place for a romantic evening.,Excellent food and friendly service!,1ca68ca4-56d5-4b56-bf78-c89044511b72,2024-01-17 20:01:41
3393,c429996d-71dd-4398-b72d-f7a60253982a,66 BBQ,Bistro,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,ae5c5d83-c628-4d28-a7ab-a5e163ae3a67,2024-01-17 20:01:41
1117,005c4500-34dc-4707-8d09-b7fcadc3c2b2,Mountain Retreat,Fast Food,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,6f5a6928-5f8f-4a8c-a147-04721d24135b,2024-01-17 20:01:41
4991,bf6a1c93-6d2a-4d6e-8717-e8278e7d334a,Café Delight,Bistro,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,703326fa-4ad9-459b-99e6-1508ae2b84c2,2024-01-17 20:01:41
3747,6f206741-ede2-4e68-a512-379cd3d2463d,Mountain Retreat,Bar,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",bfa3979f-e22e-4535-92fc-247ba46ab491,2024-01-17 20:01:41
7539,43e09de5-8376-41e8-9040-d7c408132b08,Sweet Box,Café,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,4682679c-ce2d-470b-ace3-a6b88e9cae85,2024-01-17 20:01:41
9505,32e26548-4078-43eb-bbfd-d709b16f4739,Ocean View,Fast Food,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",7067c51e-70a5-4840-840d-0c0ed4c392b2,2024-01-17 20:01:41
6448,f111f9ed-01ba-4110-b3d1-2850579c6b04,Café Delight,Fine Dining,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",b0d6c280-7505-49ee-904d-d1092f21e766,2024-01-17 20:01:41
9302,c1479715-1c7f-463b-9acc-edddd384ec41,Mountain Retreat,Fine Dining,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,06bf4d3e-3176-499b-9bfd-f32740eda5bf,2024-01-17 20:01:41
2341,e5451685-d89c-475b-af71-9ddafbde5cea,66 BBQ,Fine Dining,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,bde3ae6a-661c-4e4d-bfe5-8cd1c65bbde0,2024-01-17 20:01:41
2265,f045de64-907e-475d-a482-04f1225a459e,Sweet Box,Fine Dining,Fast and delicious meals for the on-the-go customer.,Loved the ambience and the dessert menu.,1bceb9cc-7374-4ffd-8a83-c38f0b086462,2024-01-17 20:01:41
2098,72b944f3-e572-4528-b129-5282ff3483da,Mountain Retreat,Fine Dining,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",86e1ad83-5406-462a-a218-eb9c0387e389,2024-01-17 20:01:41
6342,0f14a02f-8a99-4754-90c4-32aa13f928ff,66 BBQ,Fast Food,A cozy place with home-style cooking.,"Great location, but the service could be better.",f900cc36-16a4-4ce0-8bc3-f2521b2de1a5,2024-01-17 20:01:41
4974,1df1b20e-62f5-4f22-9e23-433c41631eca,Sweet Box,Fast Food,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,d5a98ca5-9a49-42bc-9fc8-41536275e817,2024-01-17 20:01:41
3269,45efe65e-1d29-4958-bd73-3fcc8456778b,Ocean View,Café,A perfect place for a romantic evening.,Excellent food and friendly service!,f60ab51b-b22e-4ee5-b6ea-d252deeb4aff,2024-01-17 20:01:41
2904,bcc0e101-d618-46db-aa0a-ba9ee9b8a67f,66 BBQ,Bistro,A perfect place for a romantic evening.,"Great location, but the service could be better.",12368214-1070-4a9b-a0d1-fb75ef0643f5,2024-01-17 20:01:41
2264,f289ba4d-5642-45f2-bd26-9322158bf7a0,66 BBQ,Bar,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,de77568f-9296-4715-ae5b-6eba3a403218,2024-01-17 20:01:41
6525,fe201a6d-7cef-44f7-970c-b0c54c97b0c0,66 BBQ,Bistro,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,28050e9f-bc4c-4fd8-a6cf-b778c2f2a85e,2024-01-17 20:01:41
6431,e88436ab-4801-4bf8-8fb6-14b29067e483,Sweet Box,Café,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",dd3ff1e6-19a6-49c2-a6d4-2f77ca7fd338,2024-01-17 20:01:41
1443,dcfcade8-d60e-4bb6-8c01-7c687a315f5a,Mountain Retreat,Fine Dining,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",edc8bb86-1c9f-4a4b-8441-5404e01b8f57,2024-01-17 20:01:41
7507,addaa01c-69d1-48e3-802f-d77c1776a3be,Ocean View,Fine Dining,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,477b42c2-0655-464b-9a5c-8cc89ee2f625,2024-01-17 20:01:41
6036,4a8fc308-fe13-4b8e-873f-640b5490bbad,66 BBQ,Fast Food,A perfect place for a romantic evening.,Excellent food and friendly service!,56c5a893-1732-47a4-9c35-a900eaa216f9,2024-01-17 20:01:41
2038,749c56ba-c8d1-4d85-9928-fb594936a194,Sweet Box,Café,A perfect place for a romantic evening.,A bit pricey but totally worth it.,4b391fa1-534e-46d8-b736-79483ddaff5b,2024-01-17 20:01:41
3211,1bf2eab7-711b-4def-a85a-e60ea361682f,Café Delight,Bar,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,cd7bb2eb-2aa3-4389-ba1c-83615ea89a0e,2024-01-17 20:01:41
4769,b3701860-2acd-4972-bf73-7a258bec6c66,Café Delight,Fast Food,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",a2680863-d510-41a2-b1ef-4d6d3321f983,2024-01-17 20:01:41
6277,cb4b63e8-f922-4a0d-8a05-9776949f9be5,66 BBQ,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,5f219ad2-8173-444a-bcbc-3f08fa60501d,2024-01-17 20:01:41
3808,c11b92c9-2f96-4ef9-802c-53c373634da5,Sweet Box,Bar,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,523a8407-2604-4ad2-94d8-4cb25ea6344b,2024-01-17 20:01:41
9162,4bba6fc6-c7f3-422d-af6e-a015c7600d8d,Mountain Retreat,Bar,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,6eb0224a-a94b-43c0-8124-ec84b0d594f6,2024-01-17 20:01:41
1783,efa1acef-54ab-4796-aa93-176236bce3fb,66 BBQ,Fast Food,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",f29f2ff3-6838-4ecc-8d0d-417180d24b57,2024-01-17 20:01:41
3373,2080100a-55a9-4476-80d0-35e2a1a4e85d,Sweet Box,Café,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,577a9b0a-b27b-4450-8112-d340761192d8,2024-01-17 20:01:41
9422,5cbd7403-7b8b-44bd-90b5-4a48bc884e2a,Ocean View,Bistro,A cozy place with home-style cooking.,"Great location, but the service could be better.",408b9a52-345a-4c33-868c-c84b7c3e799c,2024-01-17 20:01:41
7687,2cabb8d1-0e29-4ac2-96c2-56444d8b6903,Ocean View,Fine Dining,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,5c188abc-cc87-45c0-b98e-bcfacb81944a,2024-01-17 20:01:41
2478,0dce2ebd-468a-4115-9452-cce3880defe4,Ocean View,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,0337ec9f-f54a-4acd-86e6-7e43f46a1466,2024-01-17 20:01:41
2208,30af2780-4dcd-4335-93d9-ab0e421bf88c,Sweet Box,Café,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,53415a3b-618b-40bb-8367-618695f619ed,2024-01-17 20:01:41
5197,7f7d92a4-ec0d-4d05-98ed-b75edb293b8b,66 BBQ,Café,A cozy place with home-style cooking.,A bit pricey but totally worth it.,59c38f5d-a278-4410-b0cc-37d51f73184e,2024-01-17 20:01:41
3720,7304e632-c916-4b40-aefb-20a6b11b1c7d,Mountain Retreat,Café,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,978a7ad3-4268-41cc-beba-26e63da85531,2024-01-17 20:01:41
7901,7fab6819-303c-408c-b1c8-ccb3d5c0a677,Mountain Retreat,Bistro,A cozy place with home-style cooking.,A bit pricey but totally worth it.,f1f7fd25-5eb1-42aa-99fb-b4bc3e08a662,2024-01-17 20:01:41
2749,915aaf80-8fb0-4a26-a62b-1ddd27a34005,Mountain Retreat,Fine Dining,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,509db23e-1bbb-4896-b041-6d28e249f9c0,2024-01-17 20:01:41
1476,ae981ba0-99aa-4672-867f-828be287bbc8,Ocean View,Fine Dining,A cozy place with home-style cooking.,Excellent food and friendly service!,5456195f-f2f2-418a-83e0-69db714bb334,2024-01-17 20:01:41
9399,805f1a41-44c2-4e5f-bb07-2b48707b9302,Ocean View,Café,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",19021fb4-ec44-42fc-b6f2-ea7c1ac7caab,2024-01-17 20:01:41
6621,e4ed54da-bd88-4b3f-8ab3-53d75bac3a24,Café Delight,Bistro,Fast and delicious meals for the on-the-go customer.,Loved the ambience and the dessert menu.,7c4d2d35-ac4f-4f41-9a03-427c8e66764b,2024-01-17 20:01:41
3465,0b68fb63-5a19-43fe-97d4-26aa560b9cbd,Ocean View,Bistro,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",ba84ea30-88fc-4ffe-b7bb-93a646e1e30b,2024-01-17 20:01:41
7529,3b619372-db33-459c-8ecd-6d6bac84c20f,Ocean View,Bar,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",9629a859-58c6-45a3-9bc1-04005ee967c0,2024-01-17 20:01:41
3466,8375b6c6-96bb-41b4-b2a5-dc4d00915833,Ocean View,Café,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,a0db50a9-50b1-49ef-9970-8e3acebb5038,2024-01-17 20:01:41
9008,068d1c3d-e34d-42f0-adaa-5a354a7d5d1a,Ocean View,Bistro,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",9913c122-4d0a-4cf1-acf4-cf454bc47c67,2024-01-17 20:01:41
